price,bedrooms,bathrooms,floors,view,condition,city,statezip,city_ordinal,sqft_living_scaled,sqft_above_scaled,yr_built_scaled,yr_renovated_scaled,sqft_basement_scaled,sqft_lot_scaled
313000.0,3.0,1.5,1.5,0,3,Shoreline,98133,18,-0.8299710510256081,-0.5652237787197774,0.48245614035088025,0.9955312810327706,0.0,0.006775461539894558
2384000.0,5.0,2.5,2.0,4,5,Seattle,98119,31,1.568528264230136,1.7895590334718103,0.18421052631579116,0.0,0.058091286307053944,0.007835466383501929
342000.0,3.0,2.0,1.0,0,4,Kent,98042,20,-0.21736732981310197,0.11917122580881215,0.5789473684210549,0.0,0.0,0.010533914566217703
420000.0,3.0,2.25,1.0,0,4,Bellevue,98008,40,-0.14468553238110973,-0.9596208999735408,0.5526315789473699,0.0,0.20746887966804978,0.006885374168669312
550000.0,4.0,2.5,1.0,0,4,Redmond,98052,36,-0.20698421589424595,-0.7972220853396382,0.6666666666666679,0.9890764647467726,0.16597510373443983,0.009186087669293392
490000.0,2.0,1.0,1.0,0,3,Seattle,98115,31,-1.3075942912929857,-1.0988198839454573,0.3333333333333357,0.9900695134061569,0.0,0.005348460291734198
335000.0,2.0,2.0,1.0,0,3,Redmond,98052,36,-0.819587937106752,-0.5536238633887843,0.6666666666666679,0.0,0.0,0.0017902718008904787
482000.0,4.0,2.5,2.0,0,3,Maple Valley,98038,12,0.5925155558576688,1.0239646216262694,0.7807017543859658,0.0,0.0,0.032815439929953984
452500.0,3.0,2.5,1.0,0,4,North Bend,98045,16,0.3017883661296998,-0.29842572610693735,0.7456140350877192,0.0,0.17842323651452283,0.08177126995659383
640000.0,4.0,2.0,1.5,0,3,Seattle,98115,31,-0.6430750004861994,-0.3564253027619026,0.3947368421052637,0.9980139026812314,0.0,0.005180796959704912
463000.0,3.0,1.75,1.0,0,3,Lake Forest Park,98155,22,-0.44579583602793477,-0.13602691147303478,0.4210526315789487,0.9900695134061569,0.0,0.0062240354701093535
1400000.0,4.0,2.5,1.5,0,5,Seattle,98105,31,0.8105609481536454,0.09597139514682607,0.07894736842105488,0.9870903674280039,0.2095435684647303,0.0031315784571247602
